Id,SeedId,复投次数,调温最大亮度值,稳定时间,引晶开始CCD亮度值,引晶稳定CCD亮度差值,引晶熔接CCD差值,引晶开始结束CCD差值,引晶后50长拉速,引晶平均拉速,放肩高度,放肩降温量,等径长度
7107,220901041-411,4,69.95,33,56.7,-2.55,-8.28,-0.91,4.85,4.53,141.64,8.53,1
7108,220901141-211,2,58.78,27,48.67,-2.53,-5.94,-1.07,5.51,4.8,120.38,6.32,1
7109,220901091-213,2,63.06,16,52.11,-2.55,-7.65,-1.46,6.22,4.95,123.5,6.53,1
7110,220901351-613,6,53.1,54,45.12,-1.88,-5.83,-0.37,5.42,5.15,142.72,7,1
7111,220801302-616,6,70.5,24,57.39,-2.77,-9.25,-0.32,4.2,3.68,152.71,10.7,1
7112,220901361-311,3,62.17,32,53.37,-2.37,-7.48,-0.23,4.73,4.48,129.9,6.62,1
7113,220901442-112,1,62.01,22,51.53,-2.69,-7.78,-0.87,4.12,4.37,126.33,6.7,1
7114,220901311-311,3,59.71,36,48.39,-2.79,-7.96,-0.98,5.44,5.03,137.08,8.44,1
7115,220901271-312,3,64.27,19,53.09,-2.34,-9.18,-0.6,4.93,4.93,121.97,6.53,1
7116,220901231-214,2,55.93,29,47.35,-2.95,-7.05,-0.56,5.07,4.11,124.53,6.96,1
7117,220901281-311,3,69.48,22,57.01,-2.71,-8.77,-0.68,4.64,4.65,125.45,6.54,1
7118,220901061-411,4,58.35,39,48.42,-1.95,-7.17,-0.28,4.46,4.13,126.4,6.53,1
7119,220901103-113,1,56.96,33,48.14,-2.15,-6.87,-0.57,5.38,4.43,128.98,7.2,1
7120,220901331-211,2,65,25,53.8,-2.82,-8.03,-0.76,4.84,3.7,125.39,7.05,1
7121,220901431-112,1,67.81,22,52.59,-2.8,-9.1,0.63,5.47,5.33,127.36,6.7,1
7122,220901421-611,6,58.94,34,48.44,-2.32,-7.64,-0.04,5.01,4.99,123.9,7.03,1
7123,220901081-311,3,63.15,50,52.11,-2.69,-8.86,-0.54,4.23,4.68,132.18,6.53,1
7124,220801382-712,7,82.09,13,69.76,-3.25,-9.35,-2.97,5.47,5.3,141.49,8.9,1
7125,220901111-514,5,57.82,12,47.41,-4.01,-6.86,-1.45,5,4.7,157.29,8.3,1
7126,220901022-112,1,59.84,43,50.34,-2.71,-6.35,-0.45,4.67,4.24,142.59,7.53,1
7127,220901401-211,2,65.15,87,54.42,-2.87,-9.91,-0.76,4.55,4.09,126.78,6.54,1
7128,220901131-216,2,63.06,19,52.03,-3.7,-8.01,-1.16,6.48,5.52,129,6.65,1
7129,220900982-311,3,64.4,43,51.72,-2.81,-8.28,-0.35,5.49,5.24,123.78,6.52,1
7130,220901371-411,4,62.57,63,49.96,-2.59,-7.19,-0.76,5.2,4.81,142.89,8.53,1
7131,220901252-216,2,52.55,24,43.14,-3.16,-6.51,-0.18,5.05,4.43,135.73,6.5,1
7132,220901411-311,3,65.43,42,53.89,-3.23,-9.83,-0.47,5.23,5.2,124.72,6.44,1
7133,220901011-612,6,60.74,28,52.48,-1.96,-6.38,-0.67,4.12,4.46,143.68,8.3,1
